contrast,dE_bar,dE_bar_sub,dS_hat
Scotland - rUK_exLondon,-0.0050912011638184484,-0.002127327640583876,0.004793647681822638
Scotland - London,-0.03476381854733368,-0.013980879501871712,0.02172211947523109
London - rUK_exLondon,0.029672617383515232,0.011853551861287837,-0.01692847179340845
