channel,scenario,rUK,Scotland,diff
complementarity,central,2.1083237653553337,2.0766629149806715,-0.031660850374662264
complementarity,hi,3.953107060041251,3.893742965588759,-0.05936409445249158
complementarity,lo,1.6105250985353243,1.5863397267213464,-0.02418537181397795
composite,central,2.2086676675562833,2.1800757465009006,-0.028591921055382663
composite,hi,4.141251876668032,4.087642024689188,-0.053609851978843714
composite,lo,1.6871766904943835,1.665335639688188,-0.021841050806195472
substitution,central,1.280140653480071,1.2684091245687725,-0.011731528911298472
substitution,hi,2.4002637252751335,2.378267108566449,-0.02199661670868469
substitution,lo,0.9778852214083877,0.968923636823368,-0.008961584585019722
