operator,Scotland,rUK,gap,gap_rel
max,0.6582354307067938,0.6668682571124047,-0.008632826405610916,-0.012945325127622321
sub,0.3829737694954026,0.38651589778987644,-0.003542128294473812,-0.009164249943476935
comp,0.6270117496922318,0.6365711851918274,-0.009559435499595592,-0.015017072280321495
sat,0.7474051326375997,0.7551086589217908,-0.007703526284191131,-0.010201877826683765
