soc_uk,classification,E_uk,sigma_Scotland,sigma_rUK_exLondon,dsigma,contribution
625,Complemented,71.19505079971836,9.979645605079795e-4,3.092455030936843e-4,6.887190574142952e-4,3.348819013372169e-5
356,Complemented,77.9912263210369,0.00436261906946522,0.00405552181845026,3.070972510149598e-4,3.580312689228284e-5
245,Complemented,79.80206138837843,0.01002393092613433,0.00974702788843604,2.7690303769828915e-4,3.729717277912607e-5
713,Complemented,78.76345512700568,0.00791246673919597,0.00752191476632779,3.905519728681804e-4,4.854870316459185e-5
815,Unexposed,39.525801031014154,0.00400299979214923,0.00418524446553772,-1.8224467338848974e-4,4.8854078381990646e-5
924,Complemented,53.21374321619831,0.00271685295213627,0.00316254317120711,-4.456902190708399e-4,5.846974315786711e-5
216,Complemented,79.37115913953245,0.0049962830290785,0.00451348292564131,4.828001034371896e-4,6.294987194518487e-5
811,Complemented,56.88928526373068,0.00733188898896518,0.00806241641198681,-7.305274230216307e-4,6.898646538950019e-5
311,Complemented,75.02879332659971,0.00909693523107949,0.0082886991023707,8.082361287087888e-4,7.028526558728403e-5
358,Complemented,69.70781574973753,0.00636585105526396,0.0041982035928256,0.0021676474624383593,7.316140887827626e-5
712,Complemented,61.7473197972564,0.00182375003979125,0.00342806921446424,-0.00160431917467299,7.356354322723918e-5
923,Complemented,58.83157822127841,0.00656078136908116,0.00754330999458006,-9.825286254989e-4,7.37003070118105e-5
812,Complemented,53.064417697241936,6.958319367384657e-4,0.00128749539556858,-5.916634588301144e-4,7.850336019113544e-5
351,Complemented,74.52360243043861,0.0028467128682095,0.0014579721989278,0.0013887406692816998,1.1375090446893661e-4
623,Unexposed,35.33575177340956,0.00276432157322432,0.00315425721219537,-3.899356389710498e-4,1.2086800458211287e-4
313,Complemented,79.19457964407911,0.00934644977782438,0.00832706975514418,0.0010193800226802,1.311118068966573e-4
223,Complemented,69.99801544717984,0.02561470459911953,0.02197742244140611,0.003637282157713421,1.3331920377464e-4
522,Complemented,54.130220528925015,0.00684643573385364,0.00797120517575344,-0.0011247694418998,1.3724934618406182e-4
821,Complemented,59.41023930973633,0.02609154421884626,0.0281190634693012,-0.00202751925045494,1.4035347671085142e-4
814,Complemented,53.38100949705592,0.00520291665184247,0.00630879594055196,-0.00110587928870949,1.432296557031471e-4
913,Unexposed,43.12289419182317,0.00515629066899859,0.00584512005528827,-6.888293862896801e-4,1.5987570932915075e-4
711,Substituted,70.64557642347961,0.04014188155502334,0.03596916977637238,0.004172711778650959,1.7996543861902606e-4
622,Unexposed,40.206448815689456,0.00604087357243037,0.00673730107340798,-6.964275009776096e-4,1.819501418465975e-4
211,Complemented,77.44976905701706,0.01016633678939848,0.007287308581444,0.0028790282079544805,3.200646139041918e-4
242,Complemented,84.27740571160479,0.01710995680074601,0.01505446145967743,0.0020554953410685806,3.688533465587452e-4
212,Complemented,79.34516019131877,0.02015665581223772,0.01680373719835754,0.003352918613880179,4.3629843418635175e-4
925,Complemented,56.06938004044962,0.01074157783074955,0.01499886201783765,-0.0042572841870881,4.3693713047677373e-4
721,Substituted,79.40411472218277,0.01694685948726399,0.01358060236538511,0.0033662571218788812,4.4001866823397545e-4
411,Substituted,79.35907908479095,0.01650606605909328,0.01298207085502782,0.0035239952040654592,4.590502714976161e-4
531,Unexposed,37.43049960403274,0.01956886882369573,0.02204146736808232,-0.002472598544386591,7.146344760501936e-4
611,Unexposed,47.49917568339236,0.01506122234976228,0.02033840719920153,-0.005277184849439249,9.938779491646477e-4
