region,E_hat,S_hat,C_hat,E_bar
Scotland,0.9091367264814982,0.14895569033606282,0.7601810361454354,0.6582354307067938
rUK,0.907783580961352,0.14214151638136044,0.7656420645799917,0.6668682571124047
