measure,Scotland,rUK,gap,gap_rel
classified substituted share,0.14895569033606282,0.14214151638136044,0.006814173954702379,0.047939364431853974
classified complemented share,0.7601810361454354,0.7656420645799917,-0.005461028434556314,-0.007132612858140273
continuous substitution index,0.3829737694954026,0.38651589778987644,-0.003542128294473812,-0.009164249943476935
continuous complementarity index,0.6270117496922318,0.6365711851918274,-0.009559435499595592,-0.015017072280321495
