soc_uk,classification,E_uk,sigma_Scotland,sigma_rUK,dsigma,contribution
113,Complemented,77.52041328843603,0.02680806760580259,0.04262918896534175,-0.01582112135953916,-0.0017139950381800675
613,Complemented,51.20671772745945,0.05252641670895462,0.04184463612633031,0.010681780582624305,-0.001653551168780796
926,Complemented,46.347837608514375,0.03900001310770602,0.03137296548494742,0.0076270476227585995,-0.0015512643085821252
922,Unexposed,39.115021719599454,0.02313519475242352,0.01804240142089198,0.00509279333153154,-0.0014041749950692408
213,Complemented,80.92705559705641,0.03441886985358692,0.04228750379992215,-0.007868633946335232,-0.0011205115628314876
355,Complemented,78.26310193554428,0.02448594385782258,0.02844007760146352,-0.003954133743640939,-4.5774144444228046e-4
543,Complemented,52.72531119901144,0.01513256572110172,0.01186905363729052,0.0032635120838112007,-4.556357131896486e-4
243,Complemented,80.28966007405026,0.01538985126498725,0.01862374633145231,-0.0032338950664650597,-4.3990138935831965e-4
353,Complemented,83.43373208565374,0.00660094712538644,0.00860092638684948,-0.0019999792614630394,-3.3493465442489725e-4
911,Unexposed,40.38060432396397,0.00347541462482936,0.00224742680006648,0.0012279878247628802,-3.230371957909243e-4
323,Complemented,53.69526376960927,0.00685139793684707,0.00446960755615501,0.0023817903806920603,-3.0943177262742264e-4
412,Substituted,80.54391496067151,0.02084031630767156,0.02303689530415153,-0.002196578996479969,-3.043819119764861e-4
124,Complemented,77.72986740244394,0.00395927622992414,0.00658266424981177,-0.0026233880198876297,-2.897018327582281e-4
511,Complemented,47.383828678656734,0.01196518218775103,0.01051331215221921,0.0014518700355318197,-2.802544298756796e-4
125,Complemented,73.69340682273217,0.01324000022470353,0.01637185705552719,-0.0031318568308236604,-2.1943608914745333e-4
612,Complemented,48.331214155277536,0.00433930607804328,0.00318836462639019,0.0011509414516530903,-2.1126234210200223e-4
421,Substituted,78.5454804871788,0.01431455123895909,0.01598698504040912,-0.0016724338014500288,-1.9832815087006094e-4
414,Complemented,76.3348974301453,0.00729574917093759,0.00931821979805842,-0.0020224706271208303,-1.9512941659840193e-4
415,Substituted,80.78283597516783,0.01997324155442413,0.02129816596043578,-0.0013249244060116495,-1.8676148026068075e-4
241,Complemented,71.5672290567465,0.00649140415364478,0.01019477401435518,-0.0037033698607104003,-1.8073938657857215e-4
352,Substituted,80.64670271023923,9.415077981488174e-4,0.0022332790988258,-0.0012917713006769826,-1.8032968468287313e-4
331,Complemented,59.546861923420714,0.0149564543280709,0.01255240744044135,0.0024040468876295497,-1.716480772189578e-4
249,Complemented,75.93463380223339,0.00478730874452519,0.00658629207740795,-0.00179898333288276,-1.663665262139461e-4
112,Complemented,75.82028318011841,0.01164694581087078,0.01335346317628553,-0.00170651736541475,-1.5586403776917247e-4
354,Complemented,81.58269960566972,0.01028336987886607,0.01129629486083595,-0.0010129249819698788,-1.5088402795940332e-4
115,Complemented,75.66804795291523,0.0076914146398096,0.00935181232466085,-0.0016603976848512496,-1.4912400617211319e-4
